id,original_address_1,original_address_2,standardized_address_1,standardized_address_2,match_level,confidence_score,analysis,method_used,timestamp,status
1,"12 ave des Morgines, Petit-Lancy, 1213, CHE","Blarenberglaan 2, Mechelen, 2800, BEL","12 Avenue des Morgines, Petit-Lancy, Geneva, 1213, Switzerland","Blarenberglaan 2, Mechelen, Antwerp, 2800, Belgium",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:30:35.270457,success
2,"Neue Winterthurerstr. 99, Wallisellen, 8304, CHE","Van-der-Smissen-Str. 9, Hamburg, 22767, DEU","Neue Winterthurerstrasse 99, Wallisellen, Zurich, 8304, Switzerland","Van-der-Smissen-Strasse 9, Hamburg, Hamburg, 22767, Germany",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:30:35.270457,success
3,"Industriestrasse 54, Glattbrugg, 8152, CHE","Blarenberglaan 2, Mechelen, 2800, BEL","Industriestrasse 54, Glattbrugg, Zurich, 8152, Switzerland","Blarenberglaan 2, Mechelen, Antwerp, 2800, Belgium",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:30:35.270457,success
4,"Bern, Bern, 3018, CHE","3008, CHE","Bern, Bern, 3018, Switzerland","Bern, Bern, 3008, Switzerland",POSSIBLY_RELATED,50,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:30:35.270457,success
5,"Ericss, NULL, CHE","Ericsson Software Campus, Cornmaddy, Athlone, POSTAL, IRL","Ericsson, Switzerland","Ericsson Software Campus, Cornmaddy, Athlone, County Westmeath, Ireland",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:30:35.270457,success
6,"as Serv Prov for Snap Switzerland GmbH​ 22 Mattenstrasse Switzerland,Basel,4058,CHE","22 Mattenstrasse_x000D_
 _x000D_
 _x000D_,Basel,4058,CHE","22 Mattenstrasse, Basel, 4058, Switzerland","22 Mattenstrasse, Basel, 4058, Switzerland",IDENTICAL,100,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:30:53.647447,success
7,"Gloriastrasse 35,Zürich,8092,CHE","35 Kingsland, London","35 Gloriastrasse, Zürich, 8092, Switzerland","35 Kingsland, London, England",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:30:53.647447,success
8,"Bärengasse 29,Zürich,8001,CHE","Hardstrasse 201,8005,CHE","29 Bärengasse, Zürich, 8001, Switzerland","201 Hardstrasse, Zürich, 8005, Switzerland",DIFFERENT_NEARBY,30,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:30:53.647447,success
9,"Lichtstrasse 35,Basel,4056,CHE","Lichtstrasse 35_x000D_
 _x000D_
 _x000D_,Basel,4056,CHE","35 Lichtstrasse, Basel, 4056, Switzerland","35 Lichtstrasse, Basel, 4056, Switzerland",IDENTICAL,100,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:30:53.647447,success
10,"Schaffhauserstr. 101,Stein AG,4332,CHE","Schaffhauserstrasse_x000D_
 _x000D_
 _x000D_,Stein,4332,CHE","101 Schaffhauserstrasse, Stein, 4332, Switzerland","Schaffhauserstrasse, Stein, 4332, Switzerland",VERY_LIKELY_SAME,85,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:30:53.647447,success
11,"Rothausstrasse 61,Muttenz,4132,CHE","Malpas Road_x000D_
61 Malpas Road_x000D_
 _x000D_,61 Malpas Road,London,E8 1NA,GBR","Rothausstrasse 61, Muttenz, 4132, Basel-Landschaft, Switzerland","61 Malpas Road, London, E8 1NA, England, United Kingdom",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:31:13.229702,success
12,"Lichtstrasse 35,Basel,4056,CHE","Lichtstrasse 35_x000D_
 _x000D_
 _x000D_,Basel,4056,CHE","Lichtstrasse 35, Basel, 4056, Basel-Stadt, Switzerland","Lichtstrasse 35, Basel, 4056, Basel-Stadt, Switzerland",IDENTICAL,100,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:31:13.229702,success
13,"Rothausstrasse 61,Pratteln,4133,CHE","Rothausstrasse 61, 4132 Muttenz,CH","Rothausstrasse 61, Pratteln, 4133, Basel-Landschaft, Switzerland","Rothausstrasse 61, Muttenz, 4132, Basel-Landschaft, Switzerland",DIFFERENT_NEARBY,49,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:31:13.229702,success
14,"Hohenrainstrasse 24,Pratteln,4133,CHE","KY0004A1 Ceres UAX, Anstruther Road, Ceres, Cupar, Fife KY15 5NH
KY15 5NH
%1,KY15 5NH,GBR","Hohenrainstrasse 24, Pratteln, 4133, Basel-Landschaft, Switzerland","Anstruther Road, Ceres, Cupar, Fife, KY15 5NH, Scotland, United Kingdom",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:31:13.229702,success
15,"Neuhofstrasse 30/32/34,Baar,6340,CHE","9400 Oxford Business Park, COWLEY_x000D_
 _x000D_
 _x000D_,OXFORD,OX4 2HN,GBR","Neuhofstrasse 30/32/34, Baar, 6340, Zug, Switzerland","9400 Oxford Business Park, Cowley, Oxford, OX4 2HN, England, United Kingdom",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:31:13.229702,success
16,"Zug,6300,CHE",,,,NO_MATCH,0,One or both addresses are empty,validation_check,2025-08-22T10:31:31.548992,empty_address
17,"Bösch 21    ,Hünenberg,6331,CHE","_x000D_
 _x000D_
Van Asch Van Wijckstraat 55h_x000D_,AMERSFOORT,3811,NLD","Bösch 21, Hünenberg, 6331, Switzerland","Van Asch Van Wijckstraat 55h, Amersfoort, 3811, Netherlands",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:31:31.548992,success
18,"Rothausstrasse 61,Muttenz,4132,CHE","Hullenbergweg 85
1101 AMSTERDAM
Netherlands,AMSTERDAM,1101,NLD","Rothausstrasse 61, Muttenz, 4132, Switzerland","Hullenbergweg 85, Amsterdam, 1101, Netherlands",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:31:31.548992,success
19,"Hohenrainstrasse 24,Pratteln,4133,CHE","_x000D_
 _x000D_
Hullenbergweg 85_x000D_,AMSTERDAM,1101,NLD","Hohenrainstrasse 24, Pratteln, 4133, Switzerland","Hullenbergweg 85, Amsterdam, 1101, Netherlands",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:31:31.548992,success
20,"Aeschengraben 27,Basel,4051,CHE","Willem Einthovenstraat 13
2342 BH Oegstgeest
Netherlands,Oegstgeest,2342 BH,NLD","Aeschengraben 27, Basel, 4051, Switzerland","Willem Einthovenstraat 13, Oegstgeest, 2342 BH, Netherlands",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:31:31.548992,success
21,"25CS    ,Zurich,CHE","GOLDMAN SACHS, One Centenary Way_x000D_
 _x000D_
 _x000D_,BIRMINGHAM,B3 3HJ,GBR","25 Claridenstrasse, Zurich, 8002, Switzerland","Goldman Sachs, One Centenary Way, Birmingham, B3 3HJ, United Kingdom",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:31:54.064987,success
22,"7RDC    ,Geneva,CHE","8 Mint Walk_x000D_
 _x000D_
 _x000D_,Croydon,CR0 1AE,GBR","7 Rue du Commerce, Geneva, 1204, Switzerland","8 Mint Walk, Croydon, CR0 1AE, United Kingdom",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T10:31:54.064987,success
