id,original_address_1,original_address_2,standardized_address_1,standardized_address_2,match_level,confidence_score,analysis,method_used,timestamp,status
1.0,"Kabelgata 34,Oslo,580,NOR","Kabelgata 32-40,0580,NOR","Kabelgata 34, Oslo, 0580, Norway","Kabelgata 32-40, Oslo, 0580, Norway",VERY_LIKELY_SAME,85,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T11:51:23.007009,success
2.0,"Kabelgata 32-40    ,Oslo,574,NOR","Kabelgata 32-40,0580,NOR","Kabelgata 32-40, Oslo, 0574, Norway","Kabelgata 32-40, Oslo, 0580, Norway",IDENTICAL,95,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T11:51:23.007009,success
3.0,"Eldfiskvegen 1, Postboks 200, 4065 Stavanger,Tananger,4056,NOR","Stavanger,NOR","Eldfiskvegen 1, Postboks 200, 4065 Stavanger, Tananger, 4056, Norway","Stavanger, Norway",POSSIBLY_RELATED,50,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T11:51:23.007009,success
4.0,"Ensjoveien 23 B, N-0661 Oslo    ,Oslo,661,NOR","Lilleakerveien 2B, Oslo,283,NOR","Ensjoveien 23 B, N-0661 Oslo, Oslo, 0661, Norway","Lilleakerveien 2B, Oslo, 0283, Norway",DIFFERENT_BUT_NEARBY,30,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T11:51:23.007009,success
5.0,"Rosenholmveien 25    ,Trollåsen,1414,NOR","250,NOR","Rosenholmveien 25, Trollåsen, 1414, Norway",Norway,NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T11:51:23.007009,success
6.0,"Lysaker Torg 45,Lysaker,1366,NOR","1366,NO","Lysaker Torg 45, Lysaker, 1366, Norway","1366, Norway",POSSIBLY_RELATED,50,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T11:51:39.527005,success
7.0,"Rosenholmveien 25    ,Trollåsen,1414,NOR","250,NOR","Rosenholmveien 25, Trollåsen, 1414, Norway","250, Norway",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T11:51:39.527005,success
8.0,",NULL,NOR","Film House 147 Wardour Street London %1,GBR",Norway,"Film House, 147 Wardour Street, London, United Kingdom",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T11:51:39.527005,success
9.0,"Tjuvholmen Alle 1,Oslo,252,NOR","252,NOR","Tjuvholmen Alle 1, Oslo, 0252, Norway","0252, Norway",POSSIBLY_RELATED,50,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T11:51:39.527005,success
10.0,"Rosenholmveien 25    ,Trollåsen,1414,NOR","250,NOR","Rosenholmveien 25, Trollåsen, 1414, Norway","250, Norway",NO_MATCH,0,Batch comparison and standardization completed,azure_openai_batch_with_standardization,2025-08-22T11:51:39.527005,success
