"MasterId","Property Type","Name","Address1","Address2","Address3","City","County","State","StateCode","PostalCode","Country","CountryCode","Split_Indicator","Split_From_Row","Split_Address_Number","Combined_Address","Combined_Address_standardized_formatted","Combined_Address_standardized_street_number","Combined_Address_standardized_street_name","Combined_Address_standardized_street_type","Combined_Address_standardized_unit_type","Combined_Address_standardized_unit_number","Combined_Address_standardized_city","Combined_Address_standardized_state","Combined_Address_standardized_postal_code","Combined_Address_standardized_country","Combined_Address_standardized_country_code","Combined_Address_standardized_district","Combined_Address_standardized_region","Combined_Address_standardized_suburb","Combined_Address_standardized_locality","Combined_Address_standardized_sublocality","Combined_Address_standardized_canton","Combined_Address_standardized_prefecture","Combined_Address_standardized_oblast","Combined_Address_standardized_confidence","Combined_Address_standardized_issues","Combined_Address_standardized_status","Combined_Address_standardized_api_source","Combined_Address_standardized_latitude","Combined_Address_standardized_longitude","Combined_Address_standardized_address_id","Combined_Address_standardized_from_cache"
"2532779","Retail","McDonalds","Hwy 180","","","Weatherford","Parker","Texas","TX","76086","United States","US","Yes","1","1 of 2","Hwy 180, Weatherford, Texas, 76086, United States","Highway 180, Weatherford, Texas, 76086, United States","","Highway 180","Highway","","","Weatherford","Texas","76086","United States","USA","","South","","","","","","","high","","success","azure_openai_batch_enhanced_by_nominatim_simplified","32.7589648","-97.7970748","847","No"
"2532779","Retail","McDonalds","Jack Borden Way","","","Weatherford","Parker","Texas","TX","76086","United States","US","Yes","1","2 of 2","Jack Borden Way, Weatherford, Texas, 76086, United States","Jack Borden Way, Weatherford, Texas, 76086, United States","","Jack Borden Way","Way","","","Weatherford","Texas","76086","United States","USA","","South","","","","","","","high","","success","azure_openai_batch_enhanced_by_nominatim_simplified","32.7589648","-97.7970748","848","No"
"2532767","Industrial","Iron Rock","10255 Iron Rock Way","","","Elk Grove","Sacramento","California","CA","95624","United States","US","Yes","2","1 of 2","10255 Iron Rock Way, Elk Grove, California, 95624, United States","10255 Iron Rock Way, Elk Grove, California, 95624, United States","10255","Iron Rock","Way","","","Elk Grove","California","95624","United States","USA","","West","","","","","","","high","","success","azure_openai_batch_enhanced_by_nominatim_simplified","38.3893163","-121.3600898","849","No"
"2532767","Industrial","Iron Rock","10261 Iron Rock Way","","","Elk Grove","Sacramento","California","CA","95624","United States","US","Yes","2","2 of 2","10261 Iron Rock Way, Elk Grove, California, 95624, United States","10261 Iron Rock Way, Elk Grove, California, 95624, United States","10261","Iron Rock","Way","","","Elk Grove","California","95624","United States","USA","","West","","","","","","","high","","success","azure_openai_batch_enhanced_by_nominatim_simplified","38.3893024","-121.3600846","850","No"
"2532669","Retail","Morrisville Plaza","0","","","Morristown","Lamoille","Vermont","VT","5661","United States","US","Yes","3","1 of 5","0, Morristown, Vermont, 5661, United States","0, Morristown, Vermont, 05661, United States","0","","","","","Morristown","Vermont","05661","United States","USA","","Northeast","","","","","","","medium","street_name_missing","success","azure_openai_batch_enhanced_by_nominatim_simplified","44.5615499","-72.5982955","851","No"
"2532669","Retail","Morrisville Plaza","19","","","Morristown","Lamoille","Vermont","VT","5661","United States","US","Yes","3","2 of 5","19, Morristown, Vermont, 5661, United States","19 Morristown, Vermont, 05661, United States","19","","","","","Morristown","Vermont","05661","United States","USA","","New England","","","","","","","high","","success","azure_openai_batch_enhanced_by_nominatim_simplified","44.5615499","-72.5982955","852","No"
"2532669","Retail","Morrisville Plaza","20","","","Morristown","Lamoille","Vermont","VT","5661","United States","US","Yes","3","3 of 5","20, Morristown, Vermont, 5661, United States","20 Morristown, Vermont, 05661, United States","20","","","","","Morristown","Vermont","05661","United States","USA","","New England","","","","","","","high","","success","azure_openai_batch_enhanced_by_nominatim_simplified","44.5615499","-72.5982955","853","No"
"2532669","Retail","Morrisville Plaza","97","","","Morristown","Lamoille","Vermont","VT","5661","United States","US","Yes","3","4 of 5","97, Morristown, Vermont, 5661, United States","97 Morristown, Vermont, 05661, United States","97","","","","","Morristown","Vermont","05661","United States","USA","","New England","","","","","","","high","","success","azure_openai_batch_enhanced_by_nominatim_simplified","44.5615499","-72.5982955","854","No"
"2532669","Retail","Morrisville Plaza","105 Morrisville Plaza","","","Morristown","Lamoille","Vermont","VT","5661","United States","US","Yes","3","5 of 5","105 Morrisville Plaza, Morristown, Vermont, 5661, United States","105 Morrisville Plaza, Morristown, Vermont, 05661, United States","105","Morrisville","Plaza","","","Morristown","Vermont","05661","United States","USA","","New England","","","","","","","high","","success","azure_openai_batch_enhanced_by_nominatim_simplified","44.5743055","-72.5909909","855","No"
"2532627","Industrial","Two Building Industrial Property","14942 South Post Oak Road","","","Houston","County","Texas","TX","77053","United States","US","Yes","4","1 of 2","14942 South Post Oak Road, Houston, Texas, 77053, United States","14942 South Post Oak Road, Houston, Texas, 77053, United States","14942","South Post Oak","Road","","","Houston","Texas","77053","United States","USA","","South","","","","","","","high","","success","azure_openai_batch_enhanced_by_nominatim_simplified","29.6100973","-95.4650422","856","No"
